0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:33 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:33 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:34 +0530] "GET /FashionWheel/resources/images/favicon.ico HTTP/1.1" 200 32988
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/about HTTP/1.1" 200 33419
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/js/jquery-2.2.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/fonts/fontawesome-webfont.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/css/fluid_dg.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/js/modernizr-2.6.2-respond-1.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/commercial.jpg HTTP/1.1" 200 160587
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/accessory-1.jpg HTTP/1.1" 200 32602
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/be-1.jpg HTTP/1.1" 200 65861
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/about-image-1.jpg HTTP/1.1" 200 30265
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/about-image-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/accessory-2.jpg HTTP/1.1" 200 26326
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/46.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/countdown.jpg HTTP/1.1" 200 62603
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/Roadster.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/7.png HTTP/1.1" 200 21006
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:47:59 +0530] "GET /FashionWheel/resources/images/6.png HTTP/1.1" 200 18294
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:00 +0530] "GET /FashionWheel/resources/images/Tommy-hilfiger1.png HTTP/1.1" 200 793234
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:01 +0530] "GET /FashionWheel/resources/js/jquery-2.2.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:01 +0530] "GET /FashionWheel/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:02 +0530] "GET /images/countdown.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/Categorys HTTP/1.1" 200 31332
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/fonts/fontawesome-webfont.ttf HTTP/1.1" 200 152796
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/js/modernizr-2.6.2-respond-1.1.0.min.js HTTP/1.1" 200 19484
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/css/categorys.css HTTP/1.1" 200 87729
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/js/jquery-2.2.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/css/MintThem.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/css/fluid_dg.css HTTP/1.1" 200 27479
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/js/jquery.easing.1.3.js HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/js/jquery.film_roll.js HTTP/1.1" 200 21733
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/js/fluid_dg.min.js HTTP/1.1" 200 39835
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/images/home-latest-1.jpg HTTP/1.1" 200 22174
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/images/home-latest-2.jpg HTTP/1.1" 200 19137
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/js/modernizr.custom.js HTTP/1.1" 200 9294
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:48:59 +0530] "GET /FashionWheel/resources/images/home-latest-3.jpg HTTP/1.1" 200 12202
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/style-3.jpg HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/style-2.jpg HTTP/1.1" 200 8764
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/home-latest-4.jpg HTTP/1.1" 200 14812
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/style-1.jpg HTTP/1.1" 200 36867
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/js/jquery-2.2.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/womens.jpg HTTP/1.1" 200 11087
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/js/jquery-2.2.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/mens.jpg HTTP/1.1" 200 11347
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/clearance.jpg HTTP/1.1" 200 223252
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/baby1.jpg HTTP/1.1" 200 197187
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/winter.jpg HTTP/1.1" 200 42211
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:00 +0530] "GET /FashionWheel/resources/images/baby6.jpg HTTP/1.1" 200 626923
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:49:01 +0530] "GET /FashionWheel/resources/images/baby4.jpg HTTP/1.1" 200 1713278
